fold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,coverage,uncertain_rate,non_uncertain_accuracy,non_uncertain_errors,n_total,n_non_uncertain
1,0.9736842105263158,0.9857142857142858,0.971830985915493,0.9787234042553191,0.8859649122807017,0.11403508771929827,0.9900990099009901,1,114,101
2,0.9473684210526315,0.922077922077922,1.0,0.9594594594594594,0.8947368421052632,0.10526315789473684,1.0,0,114,102
3,0.9649122807017544,0.9473684210526315,1.0,0.972972972972973,0.868421052631579,0.13157894736842102,0.9797979797979798,2,114,99
4,0.9912280701754386,1.0,0.9861111111111112,0.993006993006993,0.9035087719298246,0.0964912280701754,1.0,0,114,103
5,0.9911504424778761,0.9861111111111112,1.0,0.993006993006993,0.9380530973451328,0.06194690265486724,0.9905660377358491,1,113,106
