alpha,beta,coverage,n_total,n_non_uncertain,accuracy_non_uncertain
0.8,0.01,0.8947368421052632,114,102,0.9901960784313726
0.8,0.02,0.8947368421052632,114,102,0.9901960784313726
0.8,0.03,0.8947368421052632,114,102,0.9901960784313726
0.8,0.04,0.9035087719298246,114,103,0.9902912621359223
0.8,0.05,0.9035087719298246,114,103,0.9902912621359223
0.8,0.060000000000000005,0.9122807017543859,114,104,0.9903846153846154
0.8,0.06999999999999999,0.9122807017543859,114,104,0.9903846153846154
0.8,0.08,0.9122807017543859,114,104,0.9903846153846154
0.8,0.09,0.9122807017543859,114,104,0.9903846153846154
0.8,0.09999999999999999,0.9122807017543859,114,104,0.9903846153846154
0.8,0.11,0.9122807017543859,114,104,0.9903846153846154
0.8,0.12,0.9122807017543859,114,104,0.9903846153846154
0.8,0.13,0.9122807017543859,114,104,0.9903846153846154
0.8,0.14,0.9210526315789473,114,105,0.9904761904761905
0.8,0.15000000000000002,0.9210526315789473,114,105,0.9904761904761905
0.8,0.16,0.9210526315789473,114,105,0.9904761904761905
0.8,0.17,0.9298245614035088,114,106,0.9905660377358491
0.8,0.18000000000000002,0.9298245614035088,114,106,0.9905660377358491
0.8,0.19,0.9385964912280702,114,107,0.9906542056074766
0.81,0.01,0.8947368421052632,114,102,0.9901960784313726
0.81,0.02,0.8947368421052632,114,102,0.9901960784313726
0.81,0.03,0.8947368421052632,114,102,0.9901960784313726
0.81,0.04,0.9035087719298246,114,103,0.9902912621359223
0.81,0.05,0.9035087719298246,114,103,0.9902912621359223
0.81,0.060000000000000005,0.9122807017543859,114,104,0.9903846153846154
0.81,0.06999999999999999,0.9122807017543859,114,104,0.9903846153846154
0.81,0.08,0.9122807017543859,114,104,0.9903846153846154
0.81,0.09,0.9122807017543859,114,104,0.9903846153846154
0.81,0.09999999999999999,0.9122807017543859,114,104,0.9903846153846154
0.81,0.11,0.9122807017543859,114,104,0.9903846153846154
0.81,0.12,0.9122807017543859,114,104,0.9903846153846154
0.81,0.13,0.9122807017543859,114,104,0.9903846153846154
0.81,0.14,0.9210526315789473,114,105,0.9904761904761905
0.81,0.15000000000000002,0.9210526315789473,114,105,0.9904761904761905
0.81,0.16,0.9210526315789473,114,105,0.9904761904761905
0.81,0.17,0.9298245614035088,114,106,0.9905660377358491
0.81,0.18000000000000002,0.9298245614035088,114,106,0.9905660377358491
0.81,0.19,0.9385964912280702,114,107,0.9906542056074766
0.8200000000000001,0.01,0.8947368421052632,114,102,0.9901960784313726
0.8200000000000001,0.02,0.8947368421052632,114,102,0.9901960784313726
