Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9937169312169312
Gradient Boosting,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9907407407407408
